strategy,type,mode,filter,horizon,trail_n,sl_n,tp_n,tmo_n,early_exit_n,avg_peak,avg_peak_drop,n_trades,wr_pct,avg_pnl_pct,median_pnl_pct,sharpe,kelly,final_bankroll,max_dd_pct,total_pnl_usd
TP50_SL50,FIXED,LAZY_MED,ALL,60,0,27,19,37,5,37.0,33.2,83,36.144578313253014,-7.6644578313253,-14.52,-0.762983631941018,-0.1890886875434898,198.59516128134854,62.90620824481338,-301.4048387186515
TP40_SL50,FIXED,LAZY_FAST,ALL,120,0,30,29,24,8,33.0,31.8,83,40.963855421686745,-7.75168674698795,-15.0,-0.8083504144648751,-0.21920367732720392,198.51550616899456,66.23093969541031,-301.48449383100547
TP150_SL50,FIXED,FAST_15,ALL,60,0,33,3,47,2,39.6,35.2,83,31.32530120481928,-6.990722891566264,-21.25,-0.5300798731851679,-0.12159975057751088,198.47355005374976,69.3244891586308,-301.52644994625024
BE20_TP100_SL50,BE,LAZY_FAST,ALL,240,0,57,4,22,4,38.6,33.5,83,18.072289156626507,-7.952891566265059,-0.8,-0.9176632634239899,-0.19199989296011052,198.41640799890894,61.59491452155345,-301.58359200109106
BE20_TP100_SL50,BE,LAZY_FAST,ALL,360,0,57,4,22,4,38.6,33.5,83,18.072289156626507,-7.952891566265059,-0.8,-0.9176632634239899,-0.19199989296011052,198.41640799890894,61.59491452155345,-301.58359200109106
TP150_SL50,FIXED,CURRENT,ALL,60,0,33,3,47,3,39.3,35.1,83,32.53012048192771,-6.997469879518071,-22.48,-0.5304689476702998,-0.12630727615605453,198.31311689920318,69.43149371798276,-301.6868831007968
TP50_SL40,FIXED,LAZY_XSLOW,ALL,240,0,33,9,41,0,44.8,36.3,83,31.32530120481928,-6.932650602409638,-34.11,-0.5093007396541562,-0.12140753819908295,198.29965037976694,63.78371843131394,-301.70034962023306
TP50_SL40,FIXED,LAZY_XSLOW,ALL,360,0,33,9,41,0,44.8,36.3,83,31.32530120481928,-6.932650602409638,-34.11,-0.5093007396541562,-0.12140753819908295,198.29965037976694,63.78371843131394,-301.70034962023306
BE20_TP100_SL60,BE,CURRENT,ALL,120,0,54,5,24,8,34.8,33.0,83,18.072289156626507,-7.780722891566265,-0.8,-0.8078550869134057,-0.16271308746025817,198.12534122828234,61.24367780201595,-301.8746587717177
DTRAIL15_ACT30_SL70,DTRAIL,LAZY_FAST,ALL,180,38,19,0,26,0,42.2,37.4,83,44.57831325301205,-6.711445783132531,-5.220000000000001,-0.4637154981858641,-0.17791911928402293,198.0250584562887,69.35984831363776,-301.97494154371134
DTRAIL15_ACT30_SL70,DTRAIL,LAZY_FAST,ALL,240,38,19,0,26,0,42.2,37.4,83,44.57831325301205,-6.711445783132531,-5.220000000000001,-0.4637154981858641,-0.17791911928402293,198.0250584562887,69.35984831363776,-301.97494154371134
DTRAIL15_ACT30_SL70,DTRAIL,LAZY_FAST,ALL,360,38,19,0,26,0,42.2,37.4,83,44.57831325301205,-6.711445783132531,-5.220000000000001,-0.4637154981858641,-0.17791911928402293,198.0250584562887,69.35984831363776,-301.97494154371134
DTRAIL15_ACT5_SL70,DTRAIL,FAST_15,ALL,120,48,15,0,20,10,33.9,32.9,83,43.373493975903614,-7.479879518072289,-1.4000000000000001,-0.6648154106041891,-0.28112508498261973,197.84724420731925,66.23293232248155,-302.15275579268075
DTRAIL15_ACT10_SL70,DTRAIL,FAST_15,ALL,120,48,15,0,20,10,33.9,32.9,83,43.373493975903614,-7.479879518072289,-1.4000000000000001,-0.6648154106041891,-0.28112508498261973,197.84724420731925,66.23293232248155,-302.15275579268075
DTRAIL15_ACT15_SL70,DTRAIL,FAST_15,ALL,120,48,15,0,20,10,33.9,32.9,83,43.373493975903614,-7.479879518072289,-1.4000000000000001,-0.6648154106041891,-0.28112508498261973,197.84724420731925,66.23293232248155,-302.15275579268075
TRAIL20_TP150_SL60,TRAIL,LAZY_MED,ALL,240,37,20,3,23,3,39.7,36.2,83,37.34939759036144,-7.264578313253011,-9.610000000000001,-0.5960724899091081,-0.18335932886406403,197.75431301689042,64.09981303606897,-302.2456869831096
TRAIL20_TP150_SL60,TRAIL,LAZY_MED,ALL,360,37,20,3,23,3,39.7,36.2,83,37.34939759036144,-7.264578313253011,-9.610000000000001,-0.5960724899091081,-0.18335932886406403,197.75431301689042,64.09981303606897,-302.2456869831096
