strategy,source,poll_sec,mode,n,wr_pct,avg_pnl_pct,median_pnl_pct,sum_pnl_usd
DTRAIL10_ACT15_SL70,both,60,volume_gated,30,60.0,-3.4,2.51,-134.82
DTRAIL10_ACT15_SL70,both,120,raw,30,53.3,-0.29,4.12,-64.22
DTRAIL10_ACT15_SL70,both,120,median_3,30,50.0,0.51,0.32,-38.29
DTRAIL10_ACT15_SL70,both,120,median_5,30,53.3,0.44,1.47,-50.4
DTRAIL10_ACT15_SL70,both,120,winsor_p95,30,50.0,-0.38,-0.53,-45.82
DTRAIL10_ACT15_SL70,both,120,dual_confirm,30,53.3,-0.29,4.12,-64.22
DTRAIL10_ACT15_SL70,both,120,ema_fast,30,53.3,-3.67,6.42,-110.33
DTRAIL10_ACT15_SL70,both,120,ema_slow,30,56.7,-2.75,6.42,-104.3
DTRAIL10_ACT15_SL70,both,120,hysteresis,30,53.3,-1.4,4.12,-83.94
DTRAIL10_ACT15_SL70,both,120,volume_gated,30,53.3,-0.29,4.12,-64.22
DTRAIL3_ACT5_SL60,jupiter,0,raw,30,56.7,-4.45,2.69,-55.64
DTRAIL3_ACT5_SL60,jupiter,0,median_3,30,50.0,-6.75,-0.33,-86.68
DTRAIL3_ACT5_SL60,jupiter,0,median_5,30,43.3,-10.51,-3.15,-143.77
DTRAIL3_ACT5_SL60,jupiter,0,winsor_p95,30,56.7,-4.52,2.69,-56.5
DTRAIL3_ACT5_SL60,jupiter,0,dual_confirm,30,56.7,-4.6,2.69,-57.49
DTRAIL3_ACT5_SL60,jupiter,0,ema_fast,30,50.0,-5.65,-0.33,-70.15
DTRAIL3_ACT5_SL60,jupiter,0,ema_slow,30,40.0,-3.23,-8.15,-49.55
DTRAIL3_ACT5_SL60,jupiter,0,hysteresis,30,56.7,-5.14,2.69,-70.42
DTRAIL3_ACT5_SL60,jupiter,0,volume_gated,30,56.7,-4.45,2.69,-55.64
DTRAIL3_ACT5_SL60,jupiter,30,raw,30,56.7,-4.45,2.69,-55.64
DTRAIL3_ACT5_SL60,jupiter,30,median_3,30,50.0,-6.75,-0.33,-86.68
DTRAIL3_ACT5_SL60,jupiter,30,median_5,30,43.3,-10.51,-3.15,-143.77
DTRAIL3_ACT5_SL60,jupiter,30,winsor_p95,30,56.7,-4.52,2.69,-56.5
DTRAIL3_ACT5_SL60,jupiter,30,dual_confirm,30,56.7,-4.6,2.69,-57.49
DTRAIL3_ACT5_SL60,jupiter,30,ema_fast,30,50.0,-5.65,-0.33,-70.15
DTRAIL3_ACT5_SL60,jupiter,30,ema_slow,30,40.0,-3.23,-8.15,-49.55
DTRAIL3_ACT5_SL60,jupiter,30,hysteresis,30,56.7,-5.14,2.69,-70.42
DTRAIL3_ACT5_SL60,jupiter,30,volume_gated,30,56.7,-4.45,2.69,-55.64
DTRAIL3_ACT5_SL60,jupiter,60,raw,30,56.7,-4.1,2.23,-51.36
DTRAIL3_ACT5_SL60,jupiter,60,median_3,30,46.7,-7.31,-1.78,-95.4
DTRAIL3_ACT5_SL60,jupiter,60,median_5,30,53.3,-7.17,1.37,-94.59
DTRAIL3_ACT5_SL60,jupiter,60,winsor_p95,30,56.7,-4.18,2.23,-52.22
DTRAIL3_ACT5_SL60,jupiter,60,dual_confirm,30,56.7,-4.26,2.23,-53.21
DTRAIL3_ACT5_SL60,jupiter,60,ema_fast,30,46.7,-5.42,-1.78,-67.54
DTRAIL3_ACT5_SL60,jupiter,60,ema_slow,30,43.3,-1.7,-4.2,-25.55
DTRAIL3_ACT5_SL60,jupiter,60,hysteresis,30,56.7,-4.79,2.23,-66.14
DTRAIL3_ACT5_SL60,jupiter,60,volume_gated,30,56.7,-4.1,2.23,-51.36
DTRAIL3_ACT5_SL60,jupiter,120,raw,30,53.3,-3.17,0.8,-39.63
DTRAIL3_ACT5_SL60,jupiter,120,median_3,30,53.3,-4.61,0.8,-65.04
DTRAIL3_ACT5_SL60,jupiter,120,median_5,30,50.0,-2.81,-1.42,-36.44
DTRAIL3_ACT5_SL60,jupiter,120,winsor_p95,30,53.3,-5.96,0.8,-82.1
DTRAIL3_ACT5_SL60,jupiter,120,dual_confirm,30,53.3,-3.33,0.8,-41.48
DTRAIL3_ACT5_SL60,jupiter,120,ema_fast,30,53.3,-5.35,0.8,-74.02
DTRAIL3_ACT5_SL60,jupiter,120,ema_slow,30,53.3,0.24,0.8,-1.05
DTRAIL3_ACT5_SL60,jupiter,120,hysteresis,30,53.3,-4.47,0.8,-62.59
DTRAIL3_ACT5_SL60,jupiter,120,volume_gated,30,53.3,-3.17,0.8,-39.63
DTRAIL3_ACT5_SL60,dexscreener,0,raw,30,60.0,-5.51,3.4,-75.61
DTRAIL3_ACT5_SL60,dexscreener,0,median_3,30,56.7,-5.18,2.23,-68.66
DTRAIL3_ACT5_SL60,dexscreener,0,median_5,30,56.7,-4.71,1.85,-64.19
DTRAIL3_ACT5_SL60,dexscreener,0,winsor_p95,30,53.3,-7.07,0.89,-96.27
DTRAIL3_ACT5_SL60,dexscreener,0,dual_confirm,30,60.0,-5.51,3.4,-75.61
DTRAIL3_ACT5_SL60,dexscreener,0,ema_fast,30,53.3,-6.27,0.89,-83.71
DTRAIL3_ACT5_SL60,dexscreener,0,ema_slow,30,43.3,-5.44,-7.43,-78.28
DTRAIL3_ACT5_SL60,dexscreener,0,hysteresis,30,60.0,-6.19,3.4,-90.27
DTRAIL3_ACT5_SL60,dexscreener,0,volume_gated,30,60.0,-5.51,3.4,-75.61
DTRAIL3_ACT5_SL60,dexscreener,30,raw,30,60.0,-5.51,3.4,-75.61
DTRAIL3_ACT5_SL60,dexscreener,30,median_3,30,56.7,-5.18,2.23,-68.66
DTRAIL3_ACT5_SL60,dexscreener,30,median_5,30,56.7,-4.71,1.85,-64.19
DTRAIL3_ACT5_SL60,dexscreener,30,winsor_p95,30,53.3,-7.07,0.89,-96.27
DTRAIL3_ACT5_SL60,dexscreener,30,dual_confirm,30,60.0,-5.51,3.4,-75.61
DTRAIL3_ACT5_SL60,dexscreener,30,ema_fast,30,53.3,-6.27,0.89,-83.71
DTRAIL3_ACT5_SL60,dexscreener,30,ema_slow,30,43.3,-5.44,-7.43,-78.28
DTRAIL3_ACT5_SL60,dexscreener,30,hysteresis,30,60.0,-6.19,3.4,-90.27
DTRAIL3_ACT5_SL60,dexscreener,30,volume_gated,30,60.0,-5.51,3.4,-75.61
DTRAIL3_ACT5_SL60,dexscreener,60,raw,30,60.0,-5.97,3.33,-82.19
