rank,name,whitelist,type,n_trades,wr_pct,avg_pnl_pct,median_pnl_pct,sharpe,max_dd_pct,kelly,final_bankroll,total_pnl_usd
5276,GADAPT_WIDE_ACT10_SL70_240m,NO,DYNAMIC_TRAIL,94,82.97872340425532,-2.441747997531235,6.4363972039209845,-0.31389627562909844,7.037510614113668,-0.22324239830728665,477.0475688232065,-22.952431176793482
5277,TD_W2T_12to3_ACT15_SL40_120m,NO,DYNAMIC_TRAIL,94,70.2127659574468,-2.442292870284098,5.546690745703076,-0.36633452690339996,6.383334483181826,-0.18927429796103545,477.0424470193294,-22.957552980670584
5278,TD_T2W_3to8_ACT30_SL70_60m,NO,DYNAMIC_TRAIL,94,52.12765957446809,-2.444405675117708,2.411425896987296,-0.218410536680791,12.74437194410061,-0.06994198322133105,477.02258665389365,-22.977413346106346
5279,TD_T2W_3to10_ACT25_SL70_480m,NO,DYNAMIC_TRAIL,94,63.829787234042556,-2.4454920706883425,22.32640033963239,-0.19528531158919774,10.813369558735138,-0.07410699062414283,477.0123745355297,-22.987625464470284
5280,TD_T2W_3to15_ACT30_SL40_480m,NO,DYNAMIC_TRAIL,94,47.87234042553192,-2.4472722628970733,-40.17999999999999,-0.2366577974093139,10.278159060731982,-0.06347738288225008,476.99564072876706,-23.004359271232943
5281,SO_20_50_RT5_RA40_SL50_120m,NO,SCALE_OUT,94,51.06382978723404,-2.4530291325969853,0.2285912436250613,-0.2566457299592584,10.824970425505462,-0.07720127090722817,476.94152615358877,-23.058473846411232
5282,TD_W2T_10to5_ACT20_SL50_120m,NO,DYNAMIC_TRAIL,94,64.8936170212766,-2.454576830614547,11.181095288626409,-0.2903460627617496,9.466485233565457,-0.12443212462717779,476.9269777922232,-23.073022207776773
5283,DIP20_B5_P1T10A20S50_P2T5A10S60_360m,NO,DIP_BUY,94,55.319148936170215,-2.4561617474165303,4.539999999999999,-0.31205681360382315,5.96850840601027,-0.12728319309737002,476.9120795742846,-23.087920425715424
5284,DIP20_B5_P1T10A20S50_P2T5A10S70_360m,NO,DIP_BUY,94,55.319148936170215,-2.4561617474165303,4.539999999999999,-0.31205681360382315,5.96850840601027,-0.12728319309737002,476.9120795742846,-23.087920425715424
5285,DIP20_B10_P1T10A20S50_P2T5A10S60_360m,NO,DIP_BUY,94,55.319148936170215,-2.4561617474165303,4.539999999999999,-0.31205681360382315,5.96850840601027,-0.12728319309737002,476.9120795742846,-23.087920425715424
5286,DIP20_B10_P1T10A20S50_P2T5A10S70_360m,NO,DIP_BUY,94,55.319148936170215,-2.4561617474165303,4.539999999999999,-0.31205681360382315,5.96850840601027,-0.12728319309737002,476.9120795742846,-23.087920425715424
5287,DIP30_B5_P1T10A20S50_P2T5A10S60_360m,NO,DIP_BUY,94,55.319148936170215,-2.4561617474165303,4.539999999999999,-0.31205681360382315,5.96850840601027,-0.12728319309737002,476.9120795742846,-23.087920425715424
5288,DIP30_B5_P1T10A20S50_P2T5A10S70_360m,NO,DIP_BUY,94,55.319148936170215,-2.4561617474165303,4.539999999999999,-0.31205681360382315,5.96850840601027,-0.12728319309737002,476.9120795742846,-23.087920425715424
5289,DIP30_B10_P1T10A20S50_P2T5A10S60_360m,NO,DIP_BUY,94,55.319148936170215,-2.4561617474165303,4.539999999999999,-0.31205681360382315,5.96850840601027,-0.12728319309737002,476.9120795742846,-23.087920425715424
5290,DIP30_B10_P1T10A20S50_P2T5A10S70_360m,NO,DIP_BUY,94,55.319148936170215,-2.4561617474165303,4.539999999999999,-0.31205681360382315,5.96850840601027,-0.12728319309737002,476.9120795742846,-23.087920425715424
5291,DIP40_B5_P1T10A20S50_P2T5A10S60_360m,NO,DIP_BUY,94,55.319148936170215,-2.4561617474165303,4.539999999999999,-0.31205681360382315,5.96850840601027,-0.12728319309737002,476.9120795742846,-23.087920425715424
5292,DIP40_B5_P1T10A20S50_P2T5A10S70_360m,NO,DIP_BUY,94,55.319148936170215,-2.4561617474165303,4.539999999999999,-0.31205681360382315,5.96850840601027,-0.12728319309737002,476.9120795742846,-23.087920425715424
5293,DIP40_B10_P1T10A20S50_P2T5A10S60_360m,NO,DIP_BUY,94,55.319148936170215,-2.4561617474165303,4.539999999999999,-0.31205681360382315,5.96850840601027,-0.12728319309737002,476.9120795742846,-23.087920425715424
5294,DIP40_B10_P1T10A20S50_P2T5A10S70_360m,NO,DIP_BUY,94,55.319148936170215,-2.4561617474165303,4.539999999999999,-0.31205681360382315,5.96850840601027,-0.12728319309737002,476.9120795742846,-23.087920425715424
5295,TD_T2W_3to10_ACT25_SL70_360m,NO,DYNAMIC_TRAIL,94,63.829787234042556,-2.4586158697558655,22.118878185122405,-0.19700275235705508,10.775265873646331,-0.07482606576884876,476.8890108242951,-23.1109891757049
5296,TD_W2T_12to5_ACT10_SL70_60m,NO,DYNAMIC_TRAIL,94,64.8936170212766,-2.4593277067251638,3.5438699775103943,-0.37487227958025077,6.656244523475646,-0.2182355431747759,476.8823195567835,-23.1176804432165
