strategy,source,poll_sec,mode,n,wr_pct,avg_pnl_pct,median_pnl_pct,sum_pnl_10usd
FAST_TP100_SL20,dexscreener,120,raw,102,34.3,2.01,-20.24,20.52
FAST_TP100_SL20,dexscreener,120,median_3,102,35.3,2.45,-20.24,24.99
FAST_TP100_SL20,dexscreener,120,median_5,102,36.3,2.29,-16.47,23.38
FAST_TP100_SL20,dexscreener,120,winsor_p95,102,34.3,3.62,-20.24,36.91
FAST_TP100_SL20,dexscreener,120,dual_confirm,102,35.3,2.44,-20.24,24.91
FAST_TP100_SL20,dexscreener,120,ema_fast,102,35.3,3.11,-20.24,31.69
FAST_TP100_SL20,dexscreener,120,ema_slow,102,40.2,5.42,-13.73,55.32
FAST_TP100_SL20,dexscreener,120,hysteresis,102,43.1,-0.97,-6.77,-9.86
FAST_TP100_SL20,dexscreener,120,volume_gated,102,34.3,2.01,-20.24,20.52
FAST_TP100_SL20,both,60,raw,102,35.3,1.15,-20.24,11.76
FAST_TP100_SL20,both,60,median_3,102,35.3,1.24,-20.24,12.7
FAST_TP100_SL20,both,60,median_5,102,37.3,2.73,-20.24,27.87
FAST_TP100_SL20,both,60,winsor_p95,102,36.3,2.42,-20.24,24.7
FAST_TP100_SL20,both,60,dual_confirm,102,38.2,4.46,-19.46,45.45
FAST_TP100_SL20,both,60,ema_fast,102,36.3,2.42,-20.24,24.7
FAST_TP100_SL20,both,60,ema_slow,102,40.2,4.59,-15.58,46.79
FAST_TP100_SL20,both,60,hysteresis,102,44.1,-1.2,-8.35,-12.26
FAST_TP100_SL20,both,60,volume_gated,102,35.3,1.15,-20.24,11.76
FAST_TP100_SL20,both,120,raw,102,35.3,2.45,-20.24,25.01
FAST_TP100_SL20,both,120,median_3,102,37.3,3.24,-19.46,33.05
FAST_TP100_SL20,both,120,median_5,102,37.3,2.7,-17.02,27.54
FAST_TP100_SL20,both,120,winsor_p95,102,35.3,3.51,-20.24,35.83
FAST_TP100_SL20,both,120,dual_confirm,102,37.3,3.23,-19.46,32.97
FAST_TP100_SL20,both,120,ema_fast,102,36.3,3.49,-20.24,35.64
FAST_TP100_SL20,both,120,ema_slow,102,41.2,5.51,-12.5,56.16
FAST_TP100_SL20,both,120,hysteresis,102,44.1,-1.18,-6.79,-12.02
FAST_TP100_SL20,both,120,volume_gated,102,35.3,2.45,-20.24,25.01
FAST_TP50_SL30,jupiter,60,raw,102,43.1,0.46,-13.26,4.65
FAST_TP50_SL30,jupiter,60,median_3,102,42.2,-0.51,-12.9,-5.25
FAST_TP50_SL30,jupiter,60,median_5,102,43.1,0.55,-10.98,5.56
FAST_TP50_SL30,jupiter,60,winsor_p95,102,42.2,-0.5,-13.71,-5.05
FAST_TP50_SL30,jupiter,60,dual_confirm,102,41.2,-1.23,-13.26,-12.5
FAST_TP50_SL30,jupiter,60,ema_fast,102,40.2,-1.67,-13.96,-17.02
FAST_TP50_SL30,jupiter,60,ema_slow,102,42.2,-0.05,-12.12,-0.47
FAST_TP50_SL30,jupiter,60,hysteresis,102,44.1,-1.08,-8.35,-11.05
FAST_TP50_SL30,jupiter,60,volume_gated,102,43.1,0.46,-13.26,4.65
FAST_TP50_SL30,jupiter,120,raw,102,42.2,0.44,-12.5,4.51
FAST_TP50_SL30,jupiter,120,median_3,102,42.2,1.03,-10.98,10.55
FAST_TP50_SL30,jupiter,120,median_5,102,41.2,-0.14,-11.97,-1.42
FAST_TP50_SL30,jupiter,120,winsor_p95,102,41.2,-0.47,-13.0,-4.75
FAST_TP50_SL30,jupiter,120,dual_confirm,102,41.2,-0.25,-11.97,-2.54
FAST_TP50_SL30,jupiter,120,ema_fast,102,40.2,-1.47,-13.71,-14.99
FAST_TP50_SL30,jupiter,120,ema_slow,102,43.1,-0.44,-8.65,-4.51
FAST_TP50_SL30,jupiter,120,hysteresis,102,44.1,-1.08,-6.79,-11.02
FAST_TP50_SL30,jupiter,120,volume_gated,102,42.2,0.44,-12.5,4.51
FAST_TP50_SL30,dexscreener,60,raw,102,45.1,1.64,-11.54,16.76
FAST_TP50_SL30,dexscreener,60,median_3,102,43.1,-1.3,-13.01,-13.24
FAST_TP50_SL30,dexscreener,60,median_5,102,44.1,1.48,-8.92,15.11
FAST_TP50_SL30,dexscreener,60,winsor_p95,102,42.2,-0.82,-13.73,-8.32
FAST_TP50_SL30,dexscreener,60,dual_confirm,102,42.2,-2.02,-13.73,-20.55
FAST_TP50_SL30,dexscreener,60,ema_fast,102,40.2,-2.43,-16.24,-24.74
FAST_TP50_SL30,dexscreener,60,ema_slow,102,42.2,-0.61,-10.94,-6.24
FAST_TP50_SL30,dexscreener,60,hysteresis,102,43.1,-1.06,-7.16,-10.86
FAST_TP50_SL30,dexscreener,60,volume_gated,102,45.1,1.64,-11.54,16.76
FAST_TP50_SL30,dexscreener,120,raw,102,43.1,0.67,-13.73,6.83
FAST_TP50_SL30,dexscreener,120,median_3,102,41.2,0.01,-12.21,0.07
FAST_TP50_SL30,dexscreener,120,median_5,102,42.2,0.71,-11.59,7.23
FAST_TP50_SL30,dexscreener,120,winsor_p95,102,41.2,-0.51,-13.73,-5.25
FAST_TP50_SL30,dexscreener,120,dual_confirm,102,41.2,-0.54,-12.21,-5.55
FAST_TP50_SL30,dexscreener,120,ema_fast,102,40.2,-1.96,-13.73,-20.03
FAST_TP50_SL30,dexscreener,120,ema_slow,102,43.1,-0.22,-8.7,-2.25
FAST_TP50_SL30,dexscreener,120,hysteresis,102,43.1,-0.97,-6.77,-9.86
FAST_TP50_SL30,dexscreener,120,volume_gated,102,43.1,0.67,-13.73,6.83
FAST_TP50_SL30,both,60,raw,102,43.1,0.23,-13.26,2.36
FAST_TP50_SL30,both,60,median_3,102,42.2,-0.74,-12.9,-7.54
FAST_TP50_SL30,both,60,median_5,102,43.1,0.36,-10.98,3.65
FAST_TP50_SL30,both,60,winsor_p95,102,42.2,-0.72,-13.71,-7.34
FAST_TP50_SL30,both,60,dual_confirm,102,41.2,-1.45,-13.26,-14.79
FAST_TP50_SL30,both,60,ema_fast,102,40.2,-1.86,-13.96,-18.93
FAST_TP50_SL30,both,60,ema_slow,102,42.2,-0.44,-12.12,-4.51
FAST_TP50_SL30,both,60,hysteresis,102,44.1,-1.2,-8.35,-12.26
FAST_TP50_SL30,both,60,volume_gated,102,43.1,0.23,-13.26,2.36
FAST_TP50_SL30,both,120,raw,102,42.2,0.34,-12.5,3.48
FAST_TP50_SL30,both,120,median_3,102,42.2,0.91,-10.98,9.29
FAST_TP50_SL30,both,120,median_5,102,41.2,-0.15,-11.97,-1.56
